i,ÀÌ¸§, ÄÚµå, °Å·¡¼Ò, koscom_day, naver_day
2294,01681,01681.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2295,01448,01448.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2296,02283,02283.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2297,03313,03313.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2298,01421,01421.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2299,06818,06818.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2300,01486,01486.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2301,02638,02638.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2302,01439,01439.HK,È«Äá °Å·¡¼Ò,20211231,20211231
2303,08191,08191.HK,È«Äá °Å·¡¼Ò,20220930,20220930
2304,03332,03332.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2305,01738,01738.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2306,01389,01389.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2307,02080,02080.HK,È«Äá °Å·¡¼Ò,20220930,20220930
2308,02226,02226.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2309,01622,01622.HK,È«Äá °Å·¡¼Ò,20220630,20220630
2310,08311,08311.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2311,03606,03606.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2312,03636,03636.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2313,03903,03903.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2314,01636,01636.HK,È«Äá °Å·¡¼Ò,20220630,20220630
2315,01340,01340.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2316,00400,00400.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2317,03396,03396.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2318,01599,01599.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2319,02608,02608.HK,È«Äá °Å·¡¼Ò,20210630,20210630
2320,01771,01771.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2321,02255,02255.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2322,01528,01528.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2323,06899,06899.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2324,00798,00798.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2325,02100,02100.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2326,06138,06138.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2327,00288,00288.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2328,01400,01400.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2329,01513,01513.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2330,01397,01397.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2331,02111,02111.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2332,06198,06198.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2333,08267,08267.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2334,06033,06033.HK,È«Äá °Å·¡¼Ò,20220930,20220930
2335,06128,06128.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2336,01588,01588.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2337,03639,03639.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2338,00911,00911.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2339,03709,03709.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2340,01626,01626.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2341,02202,02202.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2342,06136,06136.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2343,01446,01446.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2344,01450,01450.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2345,01980,01980.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2346,06188,06188.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2347,02399,02399.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2348,06123,06123.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2349,01432,01432.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2350,06060,06060.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2351,01856,01856.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2352,01253,01253.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2353,01418,01418.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2355,08125,08125.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2357,08059,08059.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2358,08315,08315.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2359,06869,06869.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2360,01456,01456.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2361,02221,02221.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2362,01578,01578.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2363,01395,01395.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2365,01285,01285.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2366,08268,08268.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2367,01811,01811.HK,È«Äá °Å·¡¼Ò,20221231,20221231
