i,이름, 코드, 거래소, koscom_day, naver_day
203,샤오-아이 ADR,AIXI.O,나스닥 증권거래소,20221231,20221231
204,어슈런트,AIZ,뉴욕 거래소,20230331,20230331
205,아서 J 갤러거 앤 코,AJG,뉴욕 거래소,20230331,20230331
206,에어로제트 로켓다인 홀딩스,AJRD.K,뉴욕 거래소,20230331,20230331
207,그레이트 에이잭스,AJX,뉴욕 거래소,20230331,20230331
208,AKA 브랜즈 홀딩,AKA,뉴욕 거래소,20230331,20230331
209,아카마이 테크놀로지,AKAM.O,나스닥 증권거래소,20230331,20230331
211,아케비아 테라퓨틱스,AKBA.O,나스닥 증권거래소,20230331,20230331
214,아카디아 리얼티 트러스트,AKR,뉴욕 거래소,20230331,20230331
215,아케로 테라퓨틱스,AKRO.O,나스닥 증권거래소,20230331,20230331
216,아쿠스티스 테크놀러지,AKTS.O,나스닥 증권거래소,20230331,20230331
217,아카리 테라퓨틱스 ADR,AKTX.O,나스닥 증권거래소,20221231,20221231
218,어큐민,AKU.O,나스닥 증권거래소,20230331,20230331
219,아코야 바이오사이언시스,AKYA.O,나스닥 증권거래소,20230331,20230331
220,에어 리스,AL,뉴욕 거래소,20230331,20230331
221,앨버말,ALB,뉴욕 거래소,20230331,20230331
222,아발론 글로보케어,ALBT.O,나스닥 증권거래소,20230331,20230331
223,알트씨 애퀴지션,ALCC.K,뉴욕 거래소,20230331,20230331
224,알트씨 애퀴지션,ALCC.S,뉴욕 거래소,20230331,20230331
225,알리코,ALCO.O,나스닥 증권거래소,20230331,20230331
227,알데이라 테라퓨틱스,ALDX.O,나스닥 증권거래소,20230331,20230331
228,올레트,ALE,뉴욕 거래소,20230331,20230331
229,알렉터,ALEC.O,나스닥 증권거래소,20230331,20230331
230,알렉산더 & 볼드윈,ALEX.K,뉴욕 거래소,20230331,20230331
231,알라모 그룹,ALG,뉴욕 거래소,20230331,20230331
233,얼라인 테크놀로지,ALGN.O,나스닥 증권거래소,20230331,20230331
234,앨리고스 테라퓨틱스,ALGS.O,나스닥 증권거래소,20230331,20230331
235,얼리전트 트래블,ALGT.O,나스닥 증권거래소,20230331,20230331
236,얼라인먼트 헬스케어,ALHC.O,나스닥 증권거래소,20230331,20230331
237,알리메라 사이언시스,ALIM.O,나스닥 증권거래소,20230331,20230331
238,얼라이트,ALIT.K,뉴욕 거래소,20230331,20230331
239,알래스카 에어 그룹,ALK,뉴욕 거래소,20230331,20230331
241,앨커미스,ALKS.O,나스닥 증권거래소,20230331,20230331
242,알카미 테크놀로지,ALKT.O,나스닥 증권거래소,20230331,20230331
243,올스테이트,ALL,뉴욕 거래소,20230331,20230331
244,얼리지언,ALLE.K,뉴욕 거래소,20230331,20230331
245,알레고,ALLG.K,뉴욕 거래소,20230331,20230331
246,알라코스,ALLK.O,나스닥 증권거래소,20230331,20230331
247,알로진 테라퓨틱스,ALLO.O,나스닥 증권거래소,20230331,20230331
248,얼라러티 테라퓨틱스,ALLR.O,나스닥 증권거래소,20230331,20230331
249,앨럿,ALLT.O,나스닥 증권거래소,20230331,20230331
250,앨라이 파이낸셜,ALLY.K,뉴욕 거래소,20230331,20230331
252,ALSP 오키드 애퀴지션 I,ALOR.O,나스닥 증권거래소,20230331,20230331
253,아스트로노바,ALOT.O,나스닥 증권거래소,20230429,20230429
254,알파 헬스케어 애퀴지션 III,ALPA.O,나스닥 증권거래소,20230331,20230331
255,알파인 이뮨 사이언시스,ALPN.O,나스닥 증권거래소,20230331,20230331
256,알파인 4 홀딩스,ALPP.O,나스닥 증권거래소,20221231,20221231
258,알람닷컴 홀딩스,ALRM.O,나스닥 증권거래소,20230331,20230331
259,애일러론 테라퓨틱스,ALRN.O,나스닥 증권거래소,20230331,20230331
260,앨러루스 파이낸셜,ALRS.O,나스닥 증권거래소,20230331,20230331
261,알파 스타 애퀴지션,ALSA.O,나스닥 증권거래소,20230331,20230331
262,앨리슨 트랜스미션 홀딩스,ALSN.K,뉴욕 거래소,20230331,20230331
263,알티뮨,ALT.O,나스닥 증권거래소,20230331,20230331
264,알타 이큅먼트 그룹,ALTG.K,뉴욕 거래소,20230331,20230331
265,알티 글로벌,ALTI.O,나스닥 증권거래소,20230331,20230331
266,알토 인그리디언츠,ALTO.O,나스닥 증권거래소,20230331,20230331
267,알테어 엔지니어링,ALTR.O,나스닥 증권거래소,20230331,20230331
268,앨티튜드 애퀴지션,ALTU.O,나스닥 증권거래소,20230331,20230331
269,오토리브,ALV,뉴욕 거래소,20230331,20230331
270,알보테크,ALVO.O,나스닥 증권거래소,20230331,20230331
271,알로비어,ALVR.O,나스닥 증권거래소,20230331,20230331
272,알렉산더스,ALX,뉴욕 거래소,20230331,20230331
273,ALX 온콜로지 홀딩스,ALXO.O,나스닥 증권거래소,20230331,20230331
274,알리시야 그룹,ALYA.TO,나스닥 증권거래소,20230331,20230331
275,알자멘드 뉴로,ALZN.O,나스닥 증권거래소,20230131,20230131
276,앤테로 미드스트림,AM,뉴욕 거래소,20230331,20230331
277,아말게이티드 뱅크,AMAL.O,나스닥 증권거래소,20230331,20230331
278,앰비알엑스 바이오파마 ADR,AMAM.O,나스닥 증권거래소,20230331,20230331
279,아메리칸 애퀴지션 오퍼튜니티스,AMAO.O,나스닥 증권거래소,20230331,20230331
280,어플라이드 머티어리얼즈,AMAT.O,나스닥 증권거래소,20230430,20230430
281,암바렐라,AMBA.O,나스닥 증권거래소,20230430,20230430
282,암박 파이낸셜 그룹,AMBC.K,뉴욕 거래소,20230331,20230331
283,앰보우 에듀케이션 홀딩스 ADR,AMBO.K,아멕스 증권거래소,20220630,20220630
284,아르다 메탈 패키징,AMBP.K,뉴욕 거래소,20230331,20230331
285,AMC 엔터테인먼트 홀딩스,AMC,뉴욕 거래소,20230331,20230331
286,앰코,AMCR.K,뉴욕 거래소,20230331,20230331
287,AMC 네트웍스,AMCX.O,나스닥 증권거래소,20230331,20230331
288,어드밴스드 마이크로 디바이시스(AMD),AMD.O,나스닥 증권거래소,20230401,20230401
289,아메텍,AME,뉴욕 거래소,20230331,20230331
290,아메디시스,AMED.O,나스닥 증권거래소,20230331,20230331
291,아폴로 메디컬 홀딩스,AMEH.O,나스닥 증권거래소,20230331,20230331
292,어필리에이티드 매니저스 그룹,AMG,뉴욕 거래소,20230331,20230331
293,암젠,AMGN.O,나스닥 증권거래소,20230331,20230331
294,아메리칸 홈스 포 렌트,AMH,뉴욕 거래소,20230331,20230331
295,에셋마크 파이낸셜 홀딩스,AMK,뉴욕 거래소,20230331,20230331
296,앰코 테크놀로지,AMKR.O,나스닥 증권거래소,20230331,20230331
297,아밀릭스 파마슈티컬스,AMLX.O,나스닥 증권거래소,20230331,20230331
298,AMN 헬스케어 서비스,AMN,뉴욕 거래소,20230331,20230331
299,아메리칸 내셔널 뱅크셰어스,AMNB.O,나스닥 증권거래소,20230331,20230331
300,얼라이드 모션 테크놀로지스,AMOT.O,나스닥 증권거래소,20230331,20230331
301,아메리프라이즈 파이낸셜,AMP,뉴욕 거래소,20230331,20230331
302,앰피오 파마슈티컬스,AMPE.K,아멕스 증권거래소,20230331,20230331
304,앰퍼스타 파마슈티컬스,AMPH.O,나스닥 증권거래소,20230331,20230331
305,앰플리튜드,AMPL.O,나스닥 증권거래소,20230331,20230331
306,앨터스 파워,AMPS.K,뉴욕 거래소,20230331,20230331
307,앰프리어스 테크놀로지스,AMPX.K,뉴욕 거래소,20230331,20230331
308,앰플리파이 에너지,AMPY.K,뉴욕 거래소,20230331,20230331
309,알파 메탈러지컬 리소시스,AMR,뉴욕 거래소,20230331,20230331
310,아메리스코,AMRC.K,뉴욕 거래소,20230331,20230331
311,A-마크 프레셔스 메탈스,AMRK.O,나스닥 증권거래소,20230331,20230331
312,아마린 ADR,AMRN.O,나스닥 증권거래소,20230331,20230331
314,엠닐 파마슈티컬,AMRX.K,뉴욕 거래소,20230331,20230331
315,아메리칸 셰어드 호스피털 서비스,AMS,아멕스 증권거래소,20230331,20230331
316,아메리칸 수퍼컨덕터,AMSC.O,나스닥 증권거래소,20230331,20230331
317,아메리세이프,AMSF.O,나스닥 증권거래소,20230331,20230331
318,에임자이트,AMST.O,나스닥 증권거래소,20230331,20230331
319,아메리칸 소프트웨어,AMSWA.O,나스닥 증권거래소,20230430,20230430
320,아메리칸 타워,AMT,뉴욕 거래소,20230331,20230331
321,아머란트 뱅코프,AMTB.O,나스닥 증권거래소,20230331,20230331
322,AMTD 아이디어 그룹 ADR,AMTD.K,뉴욕 거래소,20221231,20221231
323,어플라이드 몰레큘러 트랜스포트,AMTI.O,나스닥 증권거래소,20230331,20230331
324,에이메티스,AMTX.O,나스닥 증권거래소,20230331,20230331
325,아메리칸 우드마크,AMWD.O,나스닥 증권거래소,20230430,20230430
326,아메리칸웰,AMWL.K,뉴욕 거래소,20230331,20230331
327,아메리카 모빌 ADR 시리즈 L,AMX,뉴욕 거래소,20230331,20230331
328,아마존닷컴,AMZN.O,나스닥 증권거래소,20230331,20230331
329,오토네이션,AN,뉴욕 거래소,20230331,20230331
