i,이름, 코드, 거래소, koscom_day, naver_day
444,비나코민데오나이,TDN.HN,하노이 거래소,20230331,20230331
445,Mediplantex 국립제약 JSC,MED.HN,하노이 거래소,20230331,20230331
446,트라파코,TRA.HM,호치민 거래소,20230331,20230331
447,까이라이동물의약품,MKV.HN,하노이 거래소,20230331,20230331
448,하떠이제약,DHT.HN,하노이 거래소,20230331,20230331
449,베트남독일강철관,VGS.HN,하노이 거래소,20230331,20230331
450,꽝남운송,QTC.HN,하노이 거래소,20230331,20230331
451,비나코넥스25,VCC.HN,하노이 거래소,20230331,20230331
452,득롱자라이개발투자,DL1.HN,하노이 거래소,20230331,20230331
453,꽝닌출판교육장비,QST.HN,하노이 거래소,20230331,20230331
454,퓨뉴언주얼리,PNJ.HM,호치민 거래소,20230331,20230331
455,트라이화학,HVT.HN,하노이 거래소,20230331,20230331
456,호치민증권,HCM.HM,호치민 거래소,20230331,20230331
457,비나코넥스1,VC1.HN,하노이 거래소,20230331,20230331
458,디지안기계,DZM.HN,하노이 거래소,20230331,20230331
459,사이공하노이증권,SHS.HN,하노이 거래소,20230331,20230331
460,럼동,LHC.HN,하노이 거래소,20230331,20230331
461,도시개발2,D2D.HM,호치민 거래소,20230331,20230331
462,동하이,DHC.HM,호치민 거래소,20230331,20230331
463,베트남산업은행,CTG.HM,호치민 거래소,20230331,20230331
464,메콩수산,AAM.HM,호치민 거래소,20230331,20230331
465,닌빈화력발전,NBP.HN,하노이 거래소,20230331,20230331
466,공상은행증권,CTS.HM,호치민 거래소,20230331,20230331
467,하노이교육투자,EID.HN,하노이 거래소,20230331,20230331
468,남부고무,CSM.HM,호치민 거래소,20230331,20230331
469,VNT물류,VNT.HN,하노이 거래소,20230331,20230331
470,푸옥호아고무,PHR.HM,호치민 거래소,20230331,20230331
471,비날링크국제운송,VNL.HM,호치민 거래소,20230331,20230331
472,푸옥남교육투자,SED.HN,하노이 거래소,20230331,20230331
473,다낭교육투자,DAD.HN,하노이 거래소,20230331,20230331
474,반팟훙,VPH.HM,호치민 거래소,20230331,20230331
475,나가카와베트남,NAG.HN,하노이 거래소,20230331,20230331
476,송다도시개발투자,SDU.HN,하노이 거래소,20230331,20230331
