DB_NAME,DB_MARKET,NAME,DESC,MARKET
PAA,없음,PAA,Plains All American Pipeline Units,나스닥 증권거래소,
KOL,없음,KOLD,ProShares UltraShort Bloomberg Natural Gas,아멕스 증권거래소,
FMK,O,없음,없음,없음,
WFC_pv,없음,없음,없음,없음,
AIV_w,없음,없음,없음,없음,
WFC_pt,없음,없음,없음,없음,
TZAC,O,없음,없음,없음,
AIRC_w,K,없음,없음,없음,
ELJ,없음,없음,없음,없음,
BKK,없음,BKKT,백트 홀딩스,뉴욕 거래소,
IBDL,K,없음,없음,없음,
DNKN,O,없음,없음,없음,
ELU,없음,ELUT,Elutia Inc,나스닥 증권거래소,
BSJK,O,없음,없음,없음,
BSCK,O,없음,없음,없음,
OPESU,O,없음,없음,없음,
OPES,O,없음,없음,없음,
FEAC_u,K,없음,없음,없음,
PIH,O,없음,없음,없음,
FEAC,K,없음,없음,없음,
NRGO,K,없음,없음,없음,
BNKZ,K,없음,없음,없음,
BNKO,K,없음,없음,없음,
YGRN,K,없음,없음,없음,
KNAB,K,없음,없음,없음,
NRGZ,K,없음,없음,없음,
BFO,없음,BFOR,ALPS Barron's 400 ETF,아멕스 증권거래소,
PIHPP,O,없음,없음,없음,
SAMAU,O,SAMAU,Schultze Special Purpose Acquisition II Units,나스닥 증권거래소,
IRET,K,없음,없음,없음,
TAT,없음,TATT,TAT 테크놀러지,나스닥 증권거래소,
BK_pc,없음,없음,없음,없음,
NGLS_pa,K,없음,없음,없음,
SAMA,O,SAMA,슐츠 스페셜 퍼포즈 에퀴지션,나스닥 증권거래소,
GLIBP,O,없음,없음,없음,
GLIBA,O,없음,없음,없음,
IPOB_u,K,없음,없음,없음,
DXLG,O,DXLG,데스티네이션 XL 그룹,나스닥 증권거래소,
RELV,O,없음,없음,없음,
PRCP,O,없음,없음,없음,
PIC_u,없음,없음,없음,없음,
HCAC,O,없음,없음,없음,
KTOV,O,없음,없음,없음,
HCACU,O,없음,없음,없음,
IRET_pc,K,신성델타테크,065350,코스닥,
PIC,없음,PIC,PC3 투자,하노이 거래소,
MNCLU,O,없음,없음,없음,
NLY_pd,없음,없음,없음,없음,
BREZU,O,없음,없음,없음,
HYACU,O,없음,없음,없음,
PTI,O,PTI,PT보험,하노이 거래소,
HYAC,O,HYAC,헤이메이커 애퀴지션 4,뉴욕 거래소,
MNCL,O,없음,없음,없음,
MVC,없음,마일버스,MVC,빗썸,
MVCD,K,없음,없음,없음,
PTACU,O,없음,없음,없음,
GRX_pb,없음,없음,없음,없음,
PTAC,O,없음,없음,없음,
LSACU,O,없음,없음,없음,
LSAC,O,없음,없음,없음,
HDS,O,HDSN,허드슨 테크놀로지스,나스닥 증권거래소,
HCFT,K,없음,없음,없음,
GEC,O,GECC,그레이트 엘름 캐피털,나스닥 증권거래소,
GUDB,K,없음,없음,없음,
BMY_r,없음,없음,없음,없음,
NVUS,O,없음,없음,없음,
MFAC,K,없음,없음,없음,
MFAC_u,K,없음,없음,없음,
MFO,없음,없음,없음,없음,
GLADD,O,없음,없음,없음,
PDLI,O,없음,없음,없음,
PRSC,O,없음,없음,없음,
WPX,없음,없음,없음,없음,
LFAC,O,LNFA.U,L F Acquisition Redeemable Units Class A,아멕스 증권거래소,
LFACU,O,없음,없음,없음,
IPOC_u,K,없음,없음,없음,
TIF,없음,없음,없음,없음,
RESI,K,RESI,Kelly Residential & Apartment Real Estate ETF,아멕스 증권거래소,
HSBC_pa,K,없음,없음,없음,
SMMC,O,없음,없음,없음,
SMMCU,O,없음,없음,없음,
PE,없음,PEAK,헬스피크 프로퍼티즈,뉴욕 거래소,
GFNSL,O,없음,없음,없음,
SRE_pa,없음,없음,없음,없음,
USB_po,없음,없음,없음,없음,
FIT,없음,FIT,FIT인베스트먼트,호치민 거래소,
TLDH,K,없음,없음,없음,
CXO,없음,없음,없음,없음,
TLEH,K,없음,없음,없음,
VERT_u,K,없음,없음,없음,
FCAU,K,없음,없음,없음,
CHA,없음,CHAA,캣챠 인베스트멘트,아멕스 증권거래소,
CHL,없음,없음,없음,없음,
GDVD,K,GDVD,R3 Global Dividend Growth ETF,아멕스 증권거래소,
PSA_pb,없음,없음,없음,없음,
MGEN,O,없음,없음,없음,
CSWCL,O,없음,없음,없음,
FDUSL,O,없음,없음,없음,
OAC_u,없음,없음,없음,없음,
OAC,없음,OACP,OneAscent Core Plus Bond ETF,아멕스 증권거래소,
PECK,O,없음,없음,없음,
CFBI,O,없음,없음,없음,
ACAM,O,없음,없음,없음,
GHIVU,O,없음,없음,없음,
MCEP,O,없음,없음,없음,
ACAMU,O,없음,없음,없음,
GHIV,O,없음,없음,없음,
PRVL,O,없음,없음,없음,
TCCO,O,없음,없음,없음,
NGHCN,O,없음,없음,없음,
AAXN,O,없음,없음,없음,
ARA,없음,ARAV,Aravive Inc,나스닥 증권거래소,
EIDX,O,없음,없음,없음,
BCACU,O,없음,없음,없음,
BAC_pc,없음,없음,없음,없음,
NOVS,O,없음,없음,없음,
BDGE,O,없음,없음,없음,
PEIX,O,없음,없음,없음,
YLCO,O,없음,없음,없음,
GTLS,O,GTLS,차트 인더스트리스,뉴욕 거래소,
NOVSU,O,없음,없음,없음,
CCC,없음,CCCS,CCC 인텔리전트 솔루션스 홀딩스,나스닥 증권거래소,
FBM,없음,FBMS,퍼스트 뱅크셰어스(미시시피),나스닥 증권거래소,
ATV,없음,ATVI,액티비전 블리자드,나스닥 증권거래소,
SEGR,K,없음,없음,없음,
FOREU,O,없음,없음,없음,
