RIC,MAX(ACCOUNT_DATE)
6669.HK         ,20221231
8178.HK         ,20230331
2427.HK         ,20221231
9906.HK         ,20221231
3348.HK         ,20221231
1853.HK         ,20221231
1925.HK         ,20221231
1871.HK         ,20221231
2421.HK         ,20220930
2273.HK         ,20221231
2121.HK         ,20221231
2180.HK         ,20221231
9993.HK         ,20221231
1922.HK         ,20221231
9991.HK         ,20230331
2207.HK         ,20221231
2169.HK         ,20221231
2250.HK         ,20221231
9977.HK         ,20221231
2156.HK         ,20221231
1920.HK         ,20221231
2187.HK         ,20221231
2231.HK         ,20221231
3668.HK         ,20221231
0529.HK         ,20221231
2217.HK         ,20230331
0606.HK         ,20221231
1895.HK         ,20220630
9618.HK         ,20230331
8208.HK         ,20230331
9922.HK         ,20221231
2486.HK         ,20221231
1084.HK         ,20221231
1802.HK         ,20211231
0842.HK         ,20221231
1153.HK         ,20220630
8657.HK         ,20230331
1401.HK         ,20221231
0746.HK         ,20221231
2285.HK         ,20221231
1379.HK         ,20221231
6922.HK         ,20221231
2179.HK         ,20221231
1473.HK         ,20220930
7801.HK         ,20221231
0544.HK         ,20221231
6811.HK         ,20221231
2142.HK         ,20221231
601988.SS       ,20230331
9668.HK         ,20221231
1855.HK         ,20221231
1666.HK         ,20221231
1412.HK         ,20221231
3931.HK         ,20221231
9997.HK         ,20221231
8051.HK         ,20230331
6199.HK         ,20221231
1717.HK         ,20221231
2415.HK         ,20221231
0838.HK         ,20221231
2558.HK         ,20221231
1839.HK         ,20220331
9868.HK         ,20230331
3833.HK         ,20221231
1147.HK         ,20221231
2195.HK         ,20221231
1943.HK         ,20230331
9990.HK         ,20221231
1967.HK         ,20221231
2381.HK         ,20221231
1167.HK         ,20221231
0160.HK         ,20220930
1406.HK         ,20220331
9899.HK         ,20221231
6677.HK         ,20221231
1947.HK         ,20221231
6616.HK         ,20221231
9877.HK         ,20221231
0884.HK         ,20221231
1692.HK         ,20221231
2347.HK         ,20220930
3913.HK         ,20221231
1455.HK         ,20220930
1902.HK         ,20221231
1906.HK         ,20221231
2132.HK         ,20220930
2599.HK         ,20220630
1343.HK         ,20221231
2436.HK         ,20220630
2409.HK         ,20221231
003816.SZ       ,20230331
2177.HK         ,20221231
1449.HK         ,20230228
2125.HK         ,20221231
2359.HK         ,20230331
9913.HK         ,20220930
