RIC,MAX(ACCOUNT_DATE)
PDR.HM          ,20230331
QCG.HM          ,20230331
CVN.HN          ,20230331
MIM.HN          ,20221231
PCE.HN          ,20230331
WCS.HN          ,20230331
PPE.HN          ,20230331
SMB.HM          ,20230331
VMD.HM          ,20230331
NET.HN          ,20230331
IDJ.HN          ,20230331
SPC.HN          ,20230331
SHP.HM          ,20221231
NVB.HN          ,20221231
HAT.HN          ,20230331
OCH.HN          ,20230331
TDW.HM          ,20230331
SMA.HM          ,20230331
HDB.HM          ,20230331
ARM.HN          ,20230331
KTT.HN          ,20230331
BFC.HM          ,20230331
HTL.HM          ,20221231
SCR.HM          ,20230331
CMX.HM          ,20230331
LM8.HM          ,20230331
LCD.HN          ,20230331
PRC.HN          ,20230331
CMS.HN          ,20230331
VNF.HN          ,20230331
VSI.HM          ,20230331
EVE.HM          ,20230331
BHN.HM          ,20230331
BSC.HN          ,20230331
KST.HN          ,20230331
ADC.HN          ,20230331
PCG.HN          ,20230331
KTS.HN          ,20230331
TSB.HN          ,20230331
PPS.HN          ,20230331
NKG.HM          ,20230331
VCF.HM          ,20230331
CCL.HM          ,20230331
PTI.HN          ,20221231
L40.HN          ,20230331
TTB.HM          ,20230331
C47.HM          ,20230331
DIH.HN          ,20230331
PTB.HM          ,20230331
IDI.HM          ,20230331
GMX.HN          ,20230331
PLX.HM          ,20230331
CIG.HM          ,20230331
L14.HN          ,20230331
IVS.HN          ,20230331
THG.HM          ,20230331
PGI.HM          ,20230331
SVN.HN          ,20230331
BIC.HM          ,20230331
SVT.HM          ,20230331
VHM.HM          ,20230331
CNG.HM          ,20230331
BID.HM          ,20230331
AMC.HN          ,20230331
HHS.HM          ,20230331
GSP.HM          ,20230331
DRL.HM          ,20230331
CTX.HN          ,20230331
GAS.HM          ,20230331
ITQ.HN          ,20230331
FCN.HM          ,20221231
DHP.HN          ,20230331
VE8.HN          ,20230331
PSE.HN          ,20230331
EMC.HM          ,20230331
SHA.HM          ,20230331
HAR.HM          ,20230331
TTZ.HN          ,20230331
NLG.HM          ,20230331
NDX.HN          ,20230331
MBS.HN          ,20230331
KSQ.HN          ,20230331
KLF.HN          ,20230331
THS.HN          ,20230331
NFC.HN          ,20230331
SCI.HN          ,20230331
SKG.HM          ,20230331
CLL.HM          ,20230331
MWG.HM          ,20230331
VPB.HM          ,20230331
DGC.HM          ,20230331
VTH.HN          ,20230331
QBS.HM          ,20230331
AMD.HM          ,20230331
SFG.HM          ,20230331
MSB.HM          ,20230331
NCT.HM          ,20230331
VTJ.HN          ,20230331
TVS.HM          ,20230331
PBP.HN          ,20230331
CSV.HM          ,20230331
DCM.HM          ,20230331
SGR.HM          ,20230331
FID.HN          ,20230331
TVB.HM          ,20230331
DP3.HN          ,20230331
HNG.HM          ,20230331
DGW.HM          ,20230331
PIC.HN          ,20230331
PMP.HN          ,20230331
PMB.HN          ,20230331
STK.HM          ,20230331
TA9.HN          ,20230331
VAF.HM          ,20230331
VPS.HM          ,20221231
MBG.HN          ,20230331
VSA.HN          ,20230331
CDN.HN          ,20230331
CLM.HN          ,20230331
KPF.HM          ,20230331
IPA.HN          ,20230331
S4A.HM          ,20230331
PPY.HN          ,20230331
HHV.HM          ,20230331
TDM.HM          ,20230331
HID.HM          ,20230331
TCH.HM          ,20230331
ADS.HM          ,20230331
