RIC	MAX(ACCOUNT_DATE)
AVDL.O          	20230331
AVDX.O          	20230331
AVGO.O          	20230430
AVGR.O          	20230331
AVHI.O          	20230331
AVID.O          	20230331
AVIR.O          	20230331
AVNS.K          	20230331
AVNT.K          	20230331
AVNW.O          	20230331
AVO.O           	20230430
AVPT.O          	20230331
AVRO.O          	20230331
AVT.O           	20230401
AVTA.O          	20230331
AVTE.O          	20230331
AVTR.K          	20230331
AVTX.O          	20230331
AVXL.O          	20230331
AVY             	20230401
AWH.O           	20230331
AWI             	20230331
AWIN.O          	20221231
AWK             	20230331
AWR             	20230331
AWRE.O          	20230331
AWX             	20230331
AX              	20230331
AXDX.O          	20230331
AXGN.O          	20230331
AXL             	20230331
AXLA.O          	20230331
AXNX.O          	20230331
AXON.O          	20230331
AXP             	20230331
AXR             	20230131
AXS             	20230331
AXSM.O          	20230331
AXTA.K          	20230331
AXTI.O          	20230331
AY.O            	20230331
AYI             	20230228
AYRO.O          	20230331
AYTU.O          	20230331
AYX             	20230331
AZ.V            	20230331
AZEK.K          	20230331
AZN.O           	20230331
AZO             	20230506
AZPN.O          	20230331
AZRE.K          	20211231
AZTA.O          	20230331
AZUL.K          	20230331
AZYO.O          	20230331
AZZ             	20230228
B               	20230331
BA              	20230331
BABA.K          	20230331
BAC             	20230331
BACA.K          	20230331
BACK.O          	20230331
BAER.O          	20220930
BAFN.O          	20230331
BAH             	20230331
BAK             	20230331
BALL.K          	20230331
BALY.K          	20230331
BAM             	20230331
BANC.K          	20230331
BAND.O          	20230331
BANF.O          	20230331
BANL.O          	20221231
BANR.O          	20230331
BANX.O          	20221231
BAOS.O          	20221231
BAP             	20230331
BARC.L          	20230331
BARK.K          	20230331
BASE.O          	20230430
BASI.O          	20210930
BATL.K          	20230331
BATRA.O         	20230331
BAX             	20230331
BB              	20230228
BBAI.K          	20230331
BBAR.K          	20230331
BBCP.O          	20230430
BBD             	20211231
BBDC.K          	20230331
BBDC4.SA        	20230331
BBGI.O          	20230331
BBIG.O          	20220930
BBIO.O          	20230331
BBLG.O          	20230331
BBLN.K          	20230331
BBN             	20221231
BBSI.O          	20230331
BBUC.TO         	20230331
BBU_u.TO        	20230331
BBVA.K          	20230331
