i,코드,상품명,거래소,error
2347,VFH,Vanguard FTSE All World ex US ETF,아멕스 증권거래소,unknown error
2348,VFL,Delaware Inv National Municipal Income Closed Fund,아멕스 증권거래소,not etf
2349,VFMF,VFL,,Timeout
2350,VFMO,Delaware Inv National Municipal Income Closed Fund,아멕스 증권거래소,not etf
2358,VGZ,Vanguard Information Technology Index Fund;ETF,아멕스 증권거래소,not etf
2360,VIA,비아 리뉴어블스,나스닥 증권거래소,not etf
2370,VLY,밸리 내셔널 뱅코프,나스닥 증권거래소,not etf
2375,VNO,보나도 리얼티 트러스트,뉴욕 거래소,not etf
2393,VRA,베라 브래들리,나스닥 증권거래소,not etf
2395,VRAR,글림스 그룹,나스닥 증권거래소,not etf
2397,VRM,브이룸,나스닥 증권거래소,not etf
2399,VRPX,비르팍스 파마슈티컬,나스닥 증권거래소,not etf
2408,VTLE,바이탈 에너지,뉴욕 거래소,not etf
2410,VTVT,vTv 테라퓨틱스,나스닥 증권거래소,not etf
2414,VTYX,벤틱스 바이오사이언시스,나스닥 증권거래소,not etf
2418,VUZI,뷰직스,나스닥 증권거래소,not etf
2419,VV,뷰직스,나스닥 증권거래소,not etf
2437,WIP,WINN,,unknown error
2448,XBB,Innovator US Eqty Accelerated 9 Buffer ETF - April,아멕스 증권거래소,unknown error
2466,XEL,엑셀 에너지,나스닥 증권거래소,not etf
2509,XTLB,X T L 바이오파마슈티컬 ADR,나스닥 증권거래소,not etf
2511,XTNT,엑스턴트 메디컬 홀딩스,아멕스 증권거래소,not etf
2531,ZENV,젠비아,나스닥 증권거래소,not etf
