RIC,MAX(ACCOUNT_DATE)
8078.T          ,20230331
7244.T          ,20230331
6742.T          ,20230331
5108.T          ,20230331
1807.T          ,20230331
9744.T          ,20230331
4725.T          ,20230331
8386.T          ,20230331
1443.T          ,20230331
9067.T          ,20230331
8308.T          ,20230331
1964.T          ,20230331
8127.T          ,20230228
2288.T          ,20230331
6836.T          ,20230331
9861.T          ,20230228
8098.T          ,20230331
6143.T          ,20230331
6368.T          ,20230331
8114.T          ,20230331
8360.T          ,20230331
1801.T          ,20230331
1951.T          ,20230331
8977.T          ,20221130
8595.T          ,20230331
7769.T          ,20230331
2304.T          ,20230331
7459.T          ,20230331
8093.T          ,20230331
6586.T          ,20230331
4901.T          ,20230331
4911.T          ,20230331
7433.T          ,20230331
7327.T          ,20230331
6506.T          ,20230228
6875.T          ,20230331
6653.T          ,20230331
6961.T          ,20230331
4732.T          ,20230331
8059.T          ,20230331
5832.T          ,20230331
8368.T          ,20230331
9435.T          ,20230331
5451.T          ,20230331
6947.T          ,20230331
6413.T          ,20230331
8359.T          ,20230331
4185.T          ,20230331
6489.T          ,20230228
7239.T          ,20230331
5302.T          ,20230331
9401.T          ,20230331
6369.T          ,20230331
4465.T          ,20230228
9984.T          ,20230331
3591.T          ,20230331
9434.T          ,20230331
7267.T          ,20230331
3238.T          ,20230331
6501.T          ,20230331
5801.T          ,20230331
6702.T          ,20230331
7751.T          ,20230331
7012.T          ,20230331
2503.T          ,20230331
5406.T          ,20230331
6326.T          ,20230331
6971.T          ,20230331
6752.T          ,20230331
8031.T          ,20230331
6701.T          ,20230331
9432.T          ,20230331
7201.T          ,20230331
8591.T          ,20230331
6753.T          ,20230331
6758.T          ,20230331
6762.T          ,20230331
7203.T          ,20230331
7004.T          ,20230331
2499.T          ,20230331
4506.T          ,20230331
