i,이름, 코드, 거래소, koscom_day, naver_day
820,1911,1911.T,도쿄 거래소,20230331,20230331
821,7269,7269.T,도쿄 거래소,20230331,20230331
822,6367,6367.T,도쿄 거래소,20230331,20230331
823,4042,4042.T,도쿄 거래소,20230331,20230331
824,6022,6022.T,도쿄 거래소,20230331,20230331
825,5938,5938.T,도쿄 거래소,20230331,20230331
826,6902,6902.T,도쿄 거래소,20230331,20230331
827,8601,8601.T,도쿄 거래소,20230331,20230331
828,9613,9613.T,도쿄 거래소,20230331,20230331
829,9531,9531.T,도쿄 거래소,20230331,20230331
830,5401,5401.T,도쿄 거래소,20230331,20230331
831,7733,7733.T,도쿄 거래소,20230331,20230331
832,7752,7752.T,도쿄 거래소,20230331,20230331
833,3401,3401.T,도쿄 거래소,20230331,20230331
834,4543,4543.T,도쿄 거래소,20230331,20230331
835,7229,7229.T,도쿄 거래소,20230331,20230331
836,9425,9425.T,도쿄 거래소,20230430,20230430
837,6448,6448.T,도쿄 거래소,20230331,20230331
838,9506,9506.T,도쿄 거래소,20230331,20230331
839,9501,9501.T,도쿄 거래소,20230331,20230331
840,6963,6963.T,도쿄 거래소,20230331,20230331
841,6361,6361.T,도쿄 거래소,20230331,20230331
842,8011,8011.T,도쿄 거래소,20230228,20230228
843,6395,6395.T,도쿄 거래소,20230331,20230331
844,7011,7011.T,도쿄 거래소,20230331,20230331
845,9064,9064.T,도쿄 거래소,20230331,20230331
846,6841,6841.T,도쿄 거래소,20230331,20230331
847,8056,8056.T,도쿄 거래소,20230331,20230331
848,7951,7951.T,도쿄 거래소,20230331,20230331
849,5698,5698.T,도쿄 거래소,20230331,20230331
850,4503,4503.T,도쿄 거래소,20230331,20230331
851,8113,8113.T,도쿄 거래소,20230331,20230331
852,6371,6371.T,도쿄 거래소,20230331,20230331
853,7939,7939.T,도쿄 거래소,20230331,20230331
854,4208,4208.T,도쿄 거래소,20230331,20230331
855,7013,7013.T,도쿄 거래소,20230331,20230331
856,7261,7261.T,도쿄 거래소,20230331,20230331
857,3864,3864.T,도쿄 거래소,20230331,20230331
858,2914,2914.T,도쿄 거래소,20230331,20230331
859,6302,6302.T,도쿄 거래소,20230331,20230331
860,9503,9503.T,도쿄 거래소,20230331,20230331
861,9074,9074.T,도쿄 거래소,20230331,20230331
862,9104,9104.T,도쿄 거래소,20230331,20230331
863,8802,8802.T,도쿄 거래소,20230331,20230331
864,6412,6412.T,도쿄 거래소,20230331,20230331
865,4676,4676.T,도쿄 거래소,20230331,20230331
866,6503,6503.T,도쿄 거래소,20230331,20230331
867,7270,7270.T,도쿄 거래소,20230331,20230331
868,7211,7211.T,도쿄 거래소,20230331,20230331
869,5714,5714.T,도쿄 거래소,20230331,20230331
870,7912,7912.T,도쿄 거래소,20230331,20230331
871,4452,4452.T,도쿄 거래소,20230331,20230331
872,2801,2801.T,도쿄 거래소,20230331,20230331
873,7984,7984.T,도쿄 거래소,20230331,20230331
874,6473,6473.T,도쿄 거래소,20230331,20230331
875,3405,3405.T,도쿄 거래소,20230331,20230331
876,3686,3686.T,도쿄 거래소,20230331,20230331
877,4272,4272.T,도쿄 거래소,20230331,20230331
878,4183,4183.T,도쿄 거래소,20230331,20230331
879,7003,7003.T,도쿄 거래소,20230331,20230331
880,8001,8001.T,도쿄 거래소,20230331,20230331
881,5711,5711.T,도쿄 거래소,20230331,20230331
882,8002,8002.T,도쿄 거래소,20230331,20230331
883,8801,8801.T,도쿄 거래소,20230331,20230331
884,6981,6981.T,도쿄 거래소,20230331,20230331
885,8151,8151.T,도쿄 거래소,20230331,20230331
886,2593,2593.T,도쿄 거래소,20230430,20230430
887,8358,8358.T,도쿄 거래소,20230331,20230331
888,4005,4005.T,도쿄 거래소,20230331,20230331
889,9766,9766.T,도쿄 거래소,20230331,20230331
890,6301,6301.T,도쿄 거래소,20230331,20230331
891,9508,9508.T,도쿄 거래소,20230331,20230331
892,5802,5802.T,도쿄 거래소,20230331,20230331
893,4151,4151.T,도쿄 거래소,20230331,20230331
894,4912,4912.T,도쿄 거래소,20230331,20230331
895,6305,6305.T,도쿄 거래소,20230331,20230331
896,7741,7741.T,도쿄 거래소,20230331,20230331
897,9107,9107.T,도쿄 거래소,20230331,20230331
898,4694,4694.T,도쿄 거래소,20230331,20230331
899,8399,8399.T,도쿄 거래소,20230331,20230331
900,9783,9783.T,도쿄 거래소,20230331,20230331
901,4044,4044.T,도쿄 거래소,20230331,20230331
902,8331,8331.T,도쿄 거래소,20230331,20230331
903,7955,7955.T,도쿄 거래소,20230331,20230331
904,1376,1376.T,도쿄 거래소,20230228,20230228
905,4617,4617.T,도쿄 거래소,20230331,20230331
906,5471,5471.T,도쿄 거래소,20230331,20230331
907,9504,9504.T,도쿄 거래소,20230331,20230331
908,7238,7238.T,도쿄 거래소,20230331,20230331
909,7735,7735.T,도쿄 거래소,20230331,20230331
910,9832,9832.T,도쿄 거래소,20230331,20230331
911,9972,9972.T,도쿄 거래소,20230228,20230228
912,6754,6754.T,도쿄 거래소,20230331,20230331
913,2687,2687.T,도쿄 거래소,20230228,20230228
914,8214,8214.T,도쿄 거래소,20230331,20230331
915,6140,6140.T,도쿄 거래소,20230331,20230331
916,7259,7259.T,도쿄 거래소,20230331,20230331
917,8395,8395.T,도쿄 거래소,20230331,20230331
918,6146,6146.T,도쿄 거래소,20230331,20230331
919,8593,8593.T,도쿄 거래소,20230331,20230331
920,4662,4662.T,도쿄 거래소,20230331,20230331
921,9983,9983.T,도쿄 거래소,20230228,20230228
922,5384,5384.T,도쿄 거래소,20230331,20230331
923,4921,4921.T,도쿄 거래소,20230331,20230331
924,6406,6406.T,도쿄 거래소,20230331,20230331
925,6923,6923.T,도쿄 거래소,20230331,20230331
926,8253,8253.T,도쿄 거래소,20230331,20230331
927,6383,6383.T,도쿄 거래소,20230331,20230331
928,4114,4114.T,도쿄 거래소,20230331,20230331
929,6874,6874.T,도쿄 거래소,20230331,20230331
930,4041,4041.T,도쿄 거래소,20230331,20230331
931,5706,5706.T,도쿄 거래소,20230331,20230331
932,6141,6141.T,도쿄 거래소,20230331,20230331
933,9987,9987.T,도쿄 거래소,20230331,20230331
934,7272,7272.T,도쿄 거래소,20230331,20230331
935,3612,3612.T,도쿄 거래소,20230331,20230331
936,6925,6925.T,도쿄 거래소,20230331,20230331
937,9759,9759.T,도쿄 거래소,20230331,20230331
938,7762,7762.T,도쿄 거래소,20230331,20230331
939,6988,6988.T,도쿄 거래소,20230331,20230331
940,5331,5331.T,도쿄 거래소,20230331,20230331
941,4684,4684.T,도쿄 거래소,20230331,20230331
942,6645,6645.T,도쿄 거래소,20230331,20230331
943,7455,7455.T,도쿄 거래소,20230331,20230331
944,6444,6444.T,도쿄 거래소,20230331,20230331
945,8341,8341.T,도쿄 거래소,20230331,20230331
946,3353,3353.T,도쿄 거래소,20230228,20230228
947,7309,7309.T,도쿄 거래소,20230331,20230331
948,4203,4203.T,도쿄 거래소,20230331,20230331
949,6278,6278.T,도쿄 거래소,20230331,20230331
950,6946,6946.T,도쿄 거래소,20230331,20230331
951,7417,7417.T,도쿄 거래소,20230331,20230331
952,7581,7581.T,도쿄 거래소,20230228,20230228
953,6481,6481.T,도쿄 거래소,20230331,20230331
954,8604,8604.T,도쿄 거래소,20230331,20230331
955,5192,5192.T,도쿄 거래소,20230331,20230331
956,9656,9656.T,도쿄 거래소,20230331,20230331
957,6005,6005.T,도쿄 거래소,20230331,20230331
958,5906,5906.T,도쿄 거래소,20230320,20230320
959,9768,9768.T,도쿄 거래소,20230331,20230331
960,8303,8303.T,도쿄 거래소,20230331,20230331
961,4534,4534.T,도쿄 거래소,20230331,20230331
962,6647,6647.T,도쿄 거래소,20230331,20230331
963,4228,4228.T,도쿄 거래소,20230331,20230331
964,4524,4524.T,도쿄 거래소,20230331,20230331
965,5464,5464.T,도쿄 거래소,20230331,20230331
966,4661,4661.T,도쿄 거래소,20230331,20230331
967,8153,8153.T,도쿄 거래소,20230331,20230331
968,4708,4708.T,도쿄 거래소,20230331,20230331
969,7220,7220.T,도쿄 거래소,20230331,20230331
970,7999,7999.T,도쿄 거래소,20230331,20230331
971,7435,7435.T,도쿄 거래소,20230430,20230430
972,7447,7447.T,도쿄 거래소,20230228,20230228
973,7715,7715.T,도쿄 거래소,20230331,20230331
