i,이름, 코드, 거래소, koscom_day, naver_day
2430,5337,5337.T,도쿄 거래소,20230331,20230331
2431,2204,2204.T,도쿄 거래소,20230331,20230331
2432,3571,3571.T,도쿄 거래소,20230331,20230331
2433,8254,8254.T,도쿄 거래소,20230228,20230228
2434,9637,9637.T,도쿄 거래소,20230430,20230430
2435,8041,8041.T,도쿄 거래소,20230331,20230331
2436,8203,8203.T,도쿄 거래소,20230228,20230228
2437,7883,7883.T,도쿄 거래소,20230331,20230331
2438,3107,3107.T,도쿄 거래소,20230331,20230331
2439,2877,2877.T,도쿄 거래소,20230331,20230331
2440,6217,6217.T,도쿄 거래소,20230228,20230228
2441,6272,6272.T,도쿄 거래소,20230331,20230331
2442,4714,4714.T,도쿄 거래소,20230228,20230228
2443,7523,7523.T,도쿄 거래소,20230331,20230331
2444,5351,5351.T,도쿄 거래소,20230331,20230331
2445,8617,8617.T,도쿄 거래소,20230331,20230331
2446,8085,8085.T,도쿄 거래소,20230331,20230331
2447,5304,5304.T,도쿄 거래소,20230331,20230331
2448,1879,1879.T,도쿄 거래소,20230331,20230331
2449,5363,5363.T,도쿄 거래소,20230331,20230331
2450,6463,6463.T,도쿄 거래소,20230331,20230331
2451,2003,2003.T,도쿄 거래소,20230331,20230331
2452,8850,8850.T,도쿄 거래소,20230331,20230331
2453,9760,9760.T,도쿄 거래소,20230331,20230331
2454,9982,9982.T,도쿄 거래소,20230228,20230228
2455,6249,6249.T,도쿄 거래소,20230331,20230331
2456,7962,7962.T,도쿄 거래소,20230320,20230320
2457,9713,9713.T,도쿄 거래소,20230331,20230331
2458,6794,6794.T,도쿄 거래소,20230331,20230331
2459,7916,7916.T,도쿄 거래소,20230331,20230331
2460,5988,5988.T,도쿄 거래소,20230331,20230331
2461,7613,7613.T,도쿄 거래소,20230331,20230331
2462,2471,2471.T,도쿄 거래소,20230228,20230228
2463,6323,6323.T,도쿄 거래소,20230228,20230228
2464,4619,4619.T,도쿄 거래소,20230331,20230331
2465,2281,2281.T,도쿄 거래소,20230331,20230331
2466,4801,4801.T,도쿄 거래소,20230331,20230331
2467,3501,3501.T,도쿄 거래소,20230228,20230228
2468,9743,9743.T,도쿄 거래소,20230430,20230430
2469,2268,2268.T,도쿄 거래소,20230331,20230331
2470,4968,4968.T,도쿄 거래소,20230331,20230331
2471,9837,9837.T,도쿄 거래소,20230228,20230228
2472,9632,9632.T,도쿄 거래소,20230430,20230430
2473,5945,5945.T,도쿄 거래소,20230331,20230331
2474,5923,5923.T,도쿄 거래소,20230331,20230331
2475,5918,5918.T,도쿄 거래소,20230331,20230331
2476,2806,2806.T,도쿄 거래소,20230331,20230331
